anger,happy,fear,sad,excite,brightness,loudness,mean
0,0,0,0,0,0,0,1
0,0,0,0,0.122696757,0.001895443,0.000346317,1
0,0,0,0,1.016293942,0.015494835,0.002867567,1
0.000766855,0,0.001533709,0,3.084244097,0.046316614,0.008856046,1
0.014715347,0,0.01102618,0,5.932110791,0.09013649,0.018100978,1
0.090582965,0,0.025079279,0,8.708659429,0.138839809,0.029052178,1
0.268295206,0,0.035592803,0,10.72987535,0.186056946,0.03949463,1
0.543258652,0,0.038938645,0,11.50745244,0.230780398,0.047514738,1
0.854849307,0,0.035956006,0,10.89782721,0.271729135,0.052379743,1
1.121676901,0.002683992,0.02920408,0,9.196294501,0.305899047,0.054144666,1
1.285310843,0.040384319,0.02108026,0,6.916474417,0.331225402,0.052759782,1
1.381999046,0.211602656,0.013190473,0,4.581838602,0.347734697,0.049873157,1
1.408178739,0.52520294,0.006397143,0,2.825521153,0.357260225,0.047680044,1
1.370823183,0.837415369,0.001054539,0,2.330721276,0.360182043,0.046354056,1
1.328059669,1.009672734,-0.002786753,0,3.271613879,0.35648484,0.044987251,1
1.340641038,1.0077472,-0.005248927,0,5.274909349,0.347400057,0.04360047,1
1.466523335,0.874392582,-0.006548415,0,7.767190234,0.334855741,0.042578763,1
1.769360846,0.673513749,-0.006944034,0,10.22975278,0.322266427,0.041930088,1
2.24264276,0.457712856,-0.006698576,0,12.25812731,0.312231827,0.04114634,1
2.804740978,0.259926521,-0.00605056,0,13.66237688,0.305149657,0.039853834,1
3.358082525,0.096578804,-0.005196491,0,14.37897808,0.300395451,0.037788511,1
3.83108974,-0.02683511,-0.004283458,0,14.4709556,0.296758019,0.035473288,1
4.188063534,-0.109394438,-0.003410307,0,13.96169568,0.292557159,0.033989763,1
4.406599386,-0.140035355,-0.002634503,0,12.80551348,0.287253653,0.033291448,1
4.428180608,-0.081250778,-0.001981689,0,11.08886367,0.281846533,0.033059349,1
4.262995334,0.119404771,-0.001455526,0,9.026373661,0.277254991,0.033450621,1
3.992074901,0.474695053,-0.001046287,0,6.76059614,0.273822405,0.034030077,1
3.567389757,0.944507346,-0.000737509,0,4.414798702,0.271741899,0.03442481,1
2.926246924,1.487375042,-0.000510607,0,2.171179079,0.270215833,0.034420438,1
